V1,V2,
Zm00001d038412,5,0
Zm00001d020711,7,0
Zm00001d007313,8,0
Zm00001d017336,1,0
Zm00001d027824,4,0
Zm00001d033855,7,0
Zm00001d029820,2,0
Zm00001d013547,7,1
Zm00001d003847,7,0
Zm00001d027365,2,0
Zm00001d051556,7,0
Zm00001d051832,3,0
Zm00001d032825,7,0
Zm00001d053568,2,0
Zm00001d045599,8,0
Zm00001d045513,6,0
Zm00001d015484,7,0
Zm00001d047548,2,0
Zm00001d003266,8,0
Zm00001d004983,3,0
Zm00001d048683,5,0
Zm00001d020353,8,0
Zm00001d025421,7,0
Zm00001d041365,4,0
Zm00001d002341,8,0
Zm00001d025449,4,0
Zm00001d026029,2,0
Zm00001d028725,6,0
Zm00001d009775,4,0
Zm00001d053066,8,0
Zm00001d017821,5,0
Zm00001d048736,7,0
Zm00001d027353,5,0
Zm00001d008721,7,0
Zm00001d017204,8,0
Zm00001d023870,6,0
Zm00001d012338,5,0
Zm00001d035717,7,0
Zm00001d027317,8,1
Zm00001d035763,8,0
Zm00001d015215,7,0
Zm00001d045254,4,0
Zm00001d012585,2,1
Zm00001d010201,6,1
Zm00001d039615,5,0
Zm00001d014313,8,0
Zm00001d027979,5,0
Zm00001d023292,7,0
Zm00001d017920,7,0
Zm00001d052401,7,0
Zm00001d048877,5,0
Zm00001d021324,5,0
Zm00001d027760,8,0
Zm00001d005016,8,1
Zm00001d012567,6,0
Zm00001d028599,6,0
Zm00001d014569,7,0
Zm00001d029652,3,0
Zm00001d046728,4,0
Zm00001d018104,8,0
Zm00001d014141,8,0
Zm00001d051785,7,0
Zm00001d007264,5,1
Zm00001d031740,2,0
Zm00001d040002,7,0
Zm00001d045421,7,0
Zm00001d042721,2,1
Zm00001d047399,2,0
Zm00001d020519,7,0
Zm00001d028374,5,0
Zm00001d025103,5,0
Zm00001d038878,6,1
Zm00001d038599,6,0
Zm00001d040777,5,0
Zm00001d031790,3,1
Zm00001d011202,3,0
Zm00001d005047,8,0
Zm00001d017036,8,0
Zm00001d052977,4,0
Zm00001d048332,3,0
Zm00001d005692,7,1
Zm00001d043621,2,0
Zm00001d032224,8,0
Zm00001d021006,5,0
Zm00001d005535,8,0
Zm00001d022227,2,1
Zm00001d029350,6,0
Zm00001d027757,7,1
Zm00001d012212,2,0
Zm00001d030191,7,1
Zm00001d045804,7,1
Zm00001d037766,7,0
Zm00001d016907,1,1
Zm00001d039434,4,0
Zm00001d033610,3,1
Zm00001d014890,3,0
Zm00001d024712,3,0
Zm00001d008968,2,1
