TF,Target
Zm00001d011597,Zm00001d051925
Zm00001d043060,Zm00001d020137
Zm00001d011597,Zm00001d049197
Zm00001d022628,Zm00001d012629
Zm00001d048527,Zm00001d023462
Zm00001d050310,Zm00001d043620
Zm00001d024324,Zm00001d009985
Zm00001d031736,Zm00001d007027
Zm00001d024376,Zm00001d031725
Zm00001d002829,Zm00001d023839
Zm00001d015515,Zm00001d034655
Zm00001d048527,Zm00001d009374
Zm00001d042287,Zm00001d033168
Zm00001d003645,Zm00001d010676
Zm00001d024644,Zm00001d012338
Zm00001d048391,Zm00001d017684
Zm00001d024324,Zm00001d034130
Zm00001d037274,Zm00001d032763
Zm00001d040651,Zm00001d031127
Zm00001d043569,Zm00001d042812
Zm00001d031796,Zm00001d027901
Zm00001d011597,Zm00001d008326
Zm00001d049443,Zm00001d002234
Zm00001d031620,Zm00001d037737
Zm00001d041781,Zm00001d021057
Zm00001d002829,Zm00001d044059
Zm00001d037274,Zm00001d010880
Zm00001d015614,Zm00001d046632
Zm00001d050781,Zm00001d010094
Zm00001d006922,Zm00001d053372
Zm00001d052133,Zm00001d027965
Zm00001d017742,Zm00001d005283
Zm00001d037274,Zm00001d009716
Zm00001d018742,Zm00001d038355
Zm00001d045212,Zm00001d015780
Zm00001d006094,Zm00001d028217
Zm00001d028007,Zm00001d048825
Zm00001d052133,Zm00001d033522
Zm00001d052133,Zm00001d037094
Zm00001d052112,Zm00001d021883
Zm00001d034503,Zm00001d045764
Zm00001d054080,Zm00001d005945
Zm00001d031796,Zm00001d043911
Zm00001d031796,Zm00001d053995
Zm00001d037941,Zm00001d029806
Zm00001d031725,Zm00001d011076
Zm00001d015614,Zm00001d026308
Zm00001d005888,Zm00001d020714
Zm00001d033246,Zm00001d035757
Zm00001d005100,Zm00001d022436
Zm00001d048647,Zm00001d011527
Zm00001d015614,Zm00001d014757
Zm00001d005100,Zm00001d039160
Zm00001d011597,Zm00001d053356
Zm00001d017592,Zm00001d032401
Zm00001d033987,Zm00001d049244
Zm00001d001945,Zm00001d036917
Zm00001d040362,Zm00001d022525
Zm00001d042588,Zm00001d034112
Zm00001d040554,Zm00001d021577
Zm00001d017592,Zm00001d034642
Zm00001d002079,Zm00001d026447
Zm00001d031736,Zm00001d047847
Zm00001d045212,Zm00001d013868
Zm00001d043025,Zm00001d016087
Zm00001d018930,Zm00001d003266
Zm00001d033987,Zm00001d028408
Zm00001d037274,Zm00001d004036
Zm00001d002079,Zm00001d039648
Zm00001d032502,Zm00001d013895
Zm00001d030028,Zm00001d010075
Zm00001d024324,Zm00001d038061
Zm00001d002364,Zm00001d047883
Zm00001d002364,Zm00001d049364
Zm00001d032295,Zm00001d043290
Zm00001d017592,Zm00001d008756
Zm00001d016255,Zm00001d023387
Zm00001d032265,Zm00001d005879
Zm00001d002364,Zm00001d016438
Zm00001d002744,Zm00001d025917
Zm00001d054080,Zm00001d014617
Zm00001d054080,Zm00001d014617
Zm00001d033870,Zm00001d037086
Zm00001d029896,Zm00001d021836
Zm00001d028930,Zm00001d039615
Zm00001d043474,Zm00001d031290
Zm00001d024376,Zm00001d050195
Zm00001d052229,Zm00001d044291
Zm00001d011597,Zm00001d037532
Zm00001d037274,Zm00001d009436
Zm00001d002801,Zm00001d013849
Zm00001d020804,Zm00001d032162
Zm00001d050310,Zm00001d034635
Zm00001d031736,Zm00001d028561
Zm00001d002364,Zm00001d026662
Zm00001d043915,Zm00001d035089
Zm00001d024324,Zm00001d046574
Zm00001d052133,Zm00001d014918
Zm00001d053151,Zm00001d006149
Zm00001d014405,Zm00001d017869
Zm00001d034073,Zm00001d013220
Zm00001d022628,Zm00001d012761
Zm00001d030069,Zm00001d005399
Zm00001d017592,Zm00001d038780
Zm00001d035323,Zm00001d041740
Zm00001d052288,Zm00001d006456
Zm00001d043025,Zm00001d042909
Zm00001d026094,Zm00001d009385
Zm00001d018930,Zm00001d053382
Zm00001d038023,Zm00001d005766
Zm00001d042305,Zm00001d002573
Zm00001d051216,Zm00001d017350
Zm00001d026203,Zm00001d026204
Zm00001d050310,Zm00001d046682
Zm00001d024324,Zm00001d011076
Zm00001d020136,Zm00001d004706
Zm00001d015243,Zm00001d046194
Zm00001d003645,Zm00001d046966
Zm00001d048623,Zm00001d047063
Zm00001d029287,Zm00001d027727
Zm00001d022266,Zm00001d016687
Zm00001d026094,Zm00001d031736
Zm00001d011597,Zm00001d043516
Zm00001d043915,Zm00001d024305
Zm00001d052112,Zm00001d044110
Zm00001d003755,Zm00001d047708
Zm00001d019216,Zm00001d031741
Zm00001d015614,Zm00001d022037
Zm00001d010233,Zm00001d017614
Zm00001d048391,Zm00001d023440
Zm00001d050781,Zm00001d047367
Zm00001d002364,Zm00001d020339
Zm00001d024324,Zm00001d032401
Zm00001d005892,Zm00001d031880
Zm00001d004744,Zm00001d010465
Zm00001d017592,Zm00001d018106
Zm00001d015226,Zm00001d032370
Zm00001d002364,Zm00001d016719
Zm00001d024324,Zm00001d044995
Zm00001d040651,Zm00001d012221
Zm00001d002829,Zm00001d044420
Zm00001d031009,Zm00001d038021
Zm00001d031620,Zm00001d008882
Zm00001d047081,Zm00001d046626
Zm00001d032923,Zm00001d052721
Zm00001d043915,Zm00001d042080
Zm00001d032923,Zm00001d047847
Zm00001d028217,Zm00001d048082
Zm00001d032265,Zm00001d034781
Zm00001d016255,Zm00001d025055
Zm00001d021057,Zm00001d037737
Zm00001d017420,Zm00001d051316
Zm00001d052288,Zm00001d034702
Zm00001d042609,Zm00001d029151
Zm00001d032265,Zm00001d011656
Zm00001d010399,Zm00001d034601
Zm00001d003645,Zm00001d033295
Zm00001d018930,Zm00001d034689
Zm00001d018930,Zm00001d029059
Zm00001d018941,Zm00001d015520
Zm00001d017592,Zm00001d002618
Zm00001d024701,Zm00001d043990
Zm00001d038843,Zm00001d043238
Zm00001d054080,Zm00001d026436
Zm00001d054080,Zm00001d026436
Zm00001d015614,Zm00001d010527
Zm00001d012508,Zm00001d033237
Zm00001d024324,Zm00001d021205
Zm00001d011597,Zm00001d021365
Zm00001d020941,Zm00001d019696
Zm00001d015614,Zm00001d043929
Zm00001d052229,Zm00001d001982
Zm00001d010233,Zm00001d006094
Zm00001d002364,Zm00001d043220
Zm00001d003645,Zm00001d007327
Zm00001d038585,Zm00001d012585
Zm00001d031665,Zm00001d026436
Zm00001d031796,Zm00001d017983
Zm00001d050310,Zm00001d014883
Zm00001d052087,Zm00001d017456
Zm00001d015614,Zm00001d017085
Zm00001d047356,Zm00001d046438
Zm00001d038355,Zm00001d018742
Zm00001d015515,Zm00001d020136
Zm00001d050247,Zm00001d028406
Zm00001d039266,Zm00001d053109
Zm00001d008225,Zm00001d002537
Zm00001d003064,Zm00001d015884
Zm00001d017900,Zm00001d051700
Zm00001d017986,Zm00001d021583
Zm00001d024324,Zm00001d006169
Zm00001d039324,Zm00001d051939
Zm00001d031009,Zm00001d001828
Zm00001d011597,Zm00001d053109
Zm00001d028413,Zm00001d047921
Zm00001d042609,Zm00001d024574
Zm00001d013357,Zm00001d034678
Zm00001d018225,Zm00001d030069
Zm00001d003645,Zm00001d014007
Zm00001d038907,Zm00001d031777
Zm00001d010399,Zm00001d015515
Zm00001d011133,Zm00001d036650
Zm00001d030069,Zm00001d039994
Zm00001d027317,Zm00001d025722
Zm00001d009939,Zm00001d048417
Zm00001d049913,Zm00001d024043
Zm00001d004744,Zm00001d014563
Zm00001d033246,Zm00001d048233
Zm00001d035323,Zm00001d043267
Zm00001d026447,Zm00001d049016
Zm00001d004086,Zm00001d002079
Zm00001d002364,Zm00001d053995
Zm00001d002364,Zm00001d039011
Zm00001d052133,Zm00001d018104
Zm00001d030191,Zm00001d040173
Zm00001d052087,Zm00001d043098
Zm00001d002364,Zm00001d042811
Zm00001d043706,Zm00001d030028
Zm00001d052288,Zm00001d012166
Zm00001d050781,Zm00001d026607
Zm00001d015226,Zm00001d001806
Zm00001d027846,Zm00001d032999
Zm00001d028361,Zm00001d040324
Zm00001d022295,Zm00001d018260
Zm00001d005970,Zm00001d012956
Zm00001d038585,Zm00001d049364
Zm00001d030028,Zm00001d043706
Zm00001d051700,Zm00001d029855
Zm00001d050310,Zm00001d032316
Zm00001d037274,Zm00001d051112
Zm00001d022628,Zm00001d043354
Zm00001d051465,Zm00001d028217
Zm00001d050781,Zm00001d043544
Zm00001d040651,Zm00001d045392
Zm00001d015614,Zm00001d037619
Zm00001d031736,Zm00001d033987
Zm00001d052288,Zm00001d002662
Zm00001d019216,Zm00001d046682
Zm00001d015243,Zm00001d038113
Zm00001d030069,Zm00001d024904
Zm00001d034353,Zm00001d013119
Zm00001d031009,Zm00001d024300
Zm00001d008882,Zm00001d029604
Zm00001d028974,Zm00001d043125
Zm00001d027957,Zm00001d052180
Zm00001d017908,Zm00001d011183
Zm00001d004744,Zm00001d030253
Zm00001d011597,Zm00001d046438
Zm00001d018698,Zm00001d020867
Zm00001d031009,Zm00001d007782
