,V1,V2,
845,Zm00001d018445,4,0
846,Zm00001d011625,4,0
847,Zm00001d024511,1,0
848,Zm00001d033652,4,0
849,Zm00001d009993,6,1
850,Zm00001d018045,3,1
851,Zm00001d015829,4,0
852,Zm00001d043420,6,1
853,Zm00001d032618,4,0
854,Zm00001d038296,5,1
855,Zm00001d011208,3,0
856,Zm00001d005871,6,1
857,Zm00001d030864,6,1
858,Zm00001d012281,5,0
859,Zm00001d008788,8,0
860,Zm00001d022403,3,0
861,Zm00001d010512,6,0
862,Zm00001d017383,5,1
863,Zm00001d051267,3,1
864,Zm00001d010459,3,0
865,Zm00001d040629,6,0
866,Zm00001d022460,6,0
867,Zm00001d005394,7,0
868,Zm00001d002495,3,0
869,Zm00001d013370,5,1
870,Zm00001d049680,1,0
871,Zm00001d043800,4,0
872,Zm00001d032608,4,0
873,Zm00001d044895,6,0
874,Zm00001d048073,2,0
875,Zm00001d013073,4,1
876,Zm00001d025727,5,1
877,Zm00001d040004,5,1
878,Zm00001d038325,3,0
879,Zm00001d031317,1,0
880,Zm00001d022516,4,0
881,Zm00001d028007,4,1
882,Zm00001d053635,1,0
883,Zm00001d049061,5,0
884,Zm00001d017241,7,1
885,Zm00001d047674,5,0
886,Zm00001d048890,4,0
887,Zm00001d030095,6,0
888,Zm00001d024041,1,1
889,Zm00001d052247,7,0
890,Zm00001d015798,8,0
891,Zm00001d020976,2,0
892,Zm00001d017545,7,0
893,Zm00001d046357,6,0
894,Zm00001d043091,5,0
895,Zm00001d044352,5,0
896,Zm00001d052206,5,0
897,Zm00001d012091,4,0
898,Zm00001d024527,3,0
899,Zm00001d036003,5,1
900,Zm00001d004614,4,0
901,Zm00001d039907,5,0
902,Zm00001d018435,4,1
903,Zm00001d037228,6,0
904,Zm00001d035214,7,0
905,Zm00001d028401,8,0
906,Zm00001d028699,1,0
907,Zm00001d031426,3,0
908,Zm00001d013824,7,0
909,Zm00001d042214,3,0
910,Zm00001d015842,1,0
911,Zm00001d020351,4,0
912,Zm00001d005901,4,0
913,Zm00001d030121,6,0
914,Zm00001d047015,1,0
915,Zm00001d024781,4,1
916,Zm00001d031053,4,0
917,Zm00001d039997,3,0
918,Zm00001d034380,3,0
919,Zm00001d015477,8,0
920,Zm00001d050323,3,0
921,Zm00001d027938,4,0
922,Zm00001d039851,1,0
923,Zm00001d007073,3,0
924,Zm00001d039324,6,1
925,Zm00001d046626,6,0
926,Zm00001d037118,7,1
927,Zm00001d032869,5,0
928,Zm00001d053514,5,0
929,Zm00001d039468,3,0
930,Zm00001d043785,4,0
