V1,V2,
Zm00001d033827,2,0
Zm00001d008225,5,1
Zm00001d032172,5,0
Zm00001d036570,6,0
Zm00001d037668,6,0
Zm00001d011669,3,1
Zm00001d007935,3,0
Zm00001d052288,2,1
Zm00001d017986,2,1
Zm00001d044106,2,0
Zm00001d019326,2,0
Zm00001d053659,2,0
Zm00001d008251,6,1
Zm00001d040423,6,1
Zm00001d035535,2,1
Zm00001d041804,2,0
Zm00001d011268,3,0
Zm00001d036897,3,0
Zm00001d014491,4,0
Zm00001d005460,3,0
Zm00001d038579,2,0
Zm00001d020877,2,0
Zm00001d024324,4,1
Zm00001d027901,4,1
Zm00001d050106,3,0
Zm00001d021761,7,1
Zm00001d005248,7,0
Zm00001d037192,2,0
Zm00001d047737,3,0
Zm00001d041714,2,0
Zm00001d028427,5,0
Zm00001d029921,2,0
Zm00001d038005,2,0
Zm00001d039542,4,0
Zm00001d020974,3,0
Zm00001d008581,3,0
Zm00001d032469,1,0
Zm00001d006179,3,0
Zm00001d028974,4,1
Zm00001d030888,4,0
Zm00001d036801,2,0
Zm00001d018624,2,0
Zm00001d042305,4,1
Zm00001d028307,2,0
Zm00001d009309,6,0
Zm00001d030581,2,0
Zm00001d034376,1,0
Zm00001d018810,2,0
Zm00001d035455,4,0
Zm00001d003615,2,0
Zm00001d024258,2,0
Zm00001d032098,4,0
Zm00001d035918,3,1
Zm00001d038366,3,0
Zm00001d008693,3,0
Zm00001d018157,2,0
Zm00001d022442,7,1
Zm00001d001785,2,0
Zm00001d025722,2,0
Zm00001d016277,2,0
Zm00001d038087,2,1
Zm00001d037612,3,0
Zm00001d010018,2,0
Zm00001d047984,3,0
Zm00001d045554,2,0
Zm00001d043578,2,0
Zm00001d037338,2,0
Zm00001d037556,3,0
Zm00001d049732,2,0
Zm00001d019034,5,0
Zm00001d024245,5,0
Zm00001d021653,3,0
Zm00001d014495,2,0
Zm00001d008495,4,0
Zm00001d009189,2,0
Zm00001d037015,3,1
Zm00001d045489,3,0
Zm00001d029896,3,1
Zm00001d045398,3,1
Zm00001d041444,4,1
Zm00001d013332,4,0
Zm00001d013007,5,0
Zm00001d039000,5,0
Zm00001d038471,4,0
Zm00001d017377,3,0
Zm00001d011838,2,0
Zm00001d019936,2,0
Zm00001d040019,5,1
Zm00001d009233,5,0
Zm00001d017425,7,0
Zm00001d022546,3,0
Zm00001d011993,2,0
Zm00001d012165,2,0
Zm00001d023615,6,1
Zm00001d039680,5,0
Zm00001d037493,1,0
Zm00001d019944,3,1
Zm00001d035696,2,0
Zm00001d033005,3,1
Zm00001d040650,3,0
Zm00001d027337,2,0
Zm00001d046404,2,0
Zm00001d017677,6,1
Zm00001d038223,2,0
Zm00001d038191,4,1
Zm00001d049016,4,0
Zm00001d003512,6,0
Zm00001d031286,2,0
Zm00001d020787,4,0
Zm00001d043988,2,0
Zm00001d033365,2,0
Zm00001d007097,4,0
Zm00001d003310,3,0
Zm00001d053875,4,0
Zm00001d024134,2,0
Zm00001d046354,2,1
Zm00001d025960,3,0
Zm00001d045661,2,1
Zm00001d003086,3,0
Zm00001d021573,6,1
Zm00001d049186,1,0
Zm00001d026111,2,0
Zm00001d036840,2,0
Zm00001d050224,2,0
Zm00001d042359,2,0
Zm00001d047142,1,0
Zm00001d012167,3,1
Zm00001d038161,2,0
Zm00001d034558,2,0
Zm00001d049166,2,0
Zm00001d026287,3,0
Zm00001d008816,2,0
Zm00001d020408,3,1
Zm00001d026002,2,0
Zm00001d034037,2,0
Zm00001d031182,2,1
Zm00001d026427,2,0
Zm00001d018261,6,0
Zm00001d045570,1,0
Zm00001d031556,6,0
Zm00001d036972,2,0
Zm00001d039218,2,0
Zm00001d035440,4,1
Zm00001d043423,6,0
Zm00001d032206,3,1
Zm00001d003085,3,0
Zm00001d034163,2,1
Zm00001d003249,2,0
Zm00001d003040,2,0
Zm00001d021620,2,0
Zm00001d018799,2,0
Zm00001d029934,1,1
Zm00001d029884,4,1
Zm00001d048312,3,1
Zm00001d018024,3,0
Zm00001d032805,2,0
Zm00001d020346,1,0
Zm00001d018930,2,1
Zm00001d021447,2,0
Zm00001d034917,2,0
Zm00001d049938,2,0
Zm00001d027988,4,0
Zm00001d044452,2,0
Zm00001d029270,6,1
Zm00001d014459,3,0
Zm00001d047096,2,0
Zm00001d006659,3,0
Zm00001d041518,3,0
Zm00001d012966,5,0
Zm00001d037318,3,0
Zm00001d049158,3,1
Zm00001d022453,3,0
Zm00001d009247,4,0
Zm00001d015665,1,0
Zm00001d049933,6,0
Zm00001d038269,6,0
Zm00001d013669,5,0
Zm00001d045256,3,0
Zm00001d046364,1,0
Zm00001d016593,2,0
Zm00001d005752,6,0
Zm00001d051362,2,0
Zm00001d002449,6,1
